10Percentile,90Percentile,Energy,Entropy,InterquartileRange,Kurtosis,Maximum,MeanAbsoluteDeviation,Mean,Median,Minimum,Range,RobustMeanAbsoluteDeviation,RootMeanSquared,Skewness,TotalEnergy,Uniformity,Variance,Autocorrelation,ClusterProminence,ClusterShade,ClusterTendency,Contrast,Correlation,DifferenceAverage,DifferenceEntropy,DifferenceVariance,Id,Idm,Idmn,Idn,Imc1,Imc2,InverseVariance,JointAverage,JointEnergy,JointEntropy,MCC,MaximumProbability,SumAverage,SumEntropy,SumSquares,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelRunEmphasis,LongRunEmphasis,LongRunHighGrayLevelEmphasis,LongRunLowGrayLevelEmphasis,LowGrayLevelRunEmphasis,RunEntropy,RunLengthNonUniformity,RunLengthNonUniformityNormalized,RunPercentage,RunVariance,ShortRunEmphasis,ShortRunHighGrayLevelEmphasis,ShortRunLowGrayLevelEmphasis,GrayLevelNonUniformity.1,GrayLevelNonUniformityNormalized.1,GrayLevelVariance.1,HighGrayLevelZoneEmphasis,LargeAreaEmphasis,LargeAreaHighGrayLevelEmphasis,LargeAreaLowGrayLevelEmphasis,LowGrayLevelZoneEmphasis,SizeZoneNonUniformity,SizeZoneNonUniformityNormalized,SmallAreaEmphasis,SmallAreaHighGrayLevelEmphasis,SmallAreaLowGrayLevelEmphasis,ZoneEntropy,ZonePercentage,ZoneVariance,Busyness,Coarseness,Complexity,Contrast.1,Strength,DependenceEntropy,DependenceNonUniformity,DependenceNonUniformityNormalized,DependenceVariance,GrayLevelNonUniformity.2,GrayLevelVariance.2,HighGrayLevelEmphasis,LargeDependenceEmphasis,LargeDependenceHighGrayLevelEmphasis,LargeDependenceLowGrayLevelEmphasis,LowGrayLevelEmphasis,SmallDependenceEmphasis,SmallDependenceHighGrayLevelEmphasis,SmallDependenceLowGrayLevelEmphasis,target
87.0,204.0,2404811906.0,2.709900118426205,59.0,2.779078372349874,216.0,35.10256343525795,153.7224377318495,162.0,12.0,204.0,25.84643338149209,159.6502505520265,-0.7215263421762793,2404811906.0,0.1710021371226271,1857.6146391025088,47.6172516748814,380.8103780253501,-27.75203230943879,11.541313453790009,0.6124994927568101,0.8991819176443357,0.4642373884785665,1.2202981068441312,0.3949497124602132,0.7883324440994929,0.7820107068271775,0.9927686197425246,0.9548335146950182,-0.4316178167838256,0.9493740181389326,0.3698917399350907,6.699629884390002,0.0744022324328672,4.238081331829289,0.906712965677944,0.1409450604677301,13.399259768780004,3.580851335071026,3.0384532366367045,6752.8302077909175,0.1734198629066752,2.780593310765088,45.01536894415561,12.6631167396621,675.570981641839,0.3967122831838178,0.0330958560238946,4.981423612789012,12049.336692698522,0.307557326466144,0.4129226285108638,6.706128652680603,0.5648786188411059,24.62825077514614,0.0189122904030052,931.7599788992438,0.1638403339017485,2.806180477137925,40.37594513803411,20412.60559170037,1319164.22120626,395.8008167775655,0.0374611390365627,1381.275364867241,0.2428829549617093,0.5090297198881264,20.755174449198638,0.0188061241036149,6.023083517683733,0.0602755696873343,20137.36191374124,95.30228426531428,0.0001726027152179,13.519976001749717,0.0315900541887063,0.0064805101398391,5.697851533865653,11877.169136195018,0.1258841455876525,4.842883110249499,16134.051637519871,3.0722004843335804,47.74615792262851,37.29435082140965,1885.1959936406995,1.1963548620399111,0.0325464889309077,0.0773336341927495,3.357673527023422,0.0026701481055484,0
53.0,237.0,4684837208.0,3.203801509080937,99.0,2.295156405046488,255.0,56.03389452763547,159.2315826308255,172.0,3.0,252.0,43.33364481588066,172.64560124634542,-0.6102926044675978,4684837208.0,0.1214264119023935,4451.806722594692,54.83013133329618,1901.7948545590584,-96.92010107840284,28.637529332738936,0.4120362559012177,0.9716319677584327,0.3728540178505051,1.0449560614698332,0.2728104694760452,0.8199596924717871,0.8174855479639183,0.9966394288534476,0.9691783624153618,-0.5939361798496806,0.9887689079357466,0.3398865962086085,6.911856132955107,0.0589772464337196,4.502115529947322,0.9821836570654462,0.14166602976824,13.82371226591021,4.051919034577404,7.262391397160042,7876.788499607657,0.139535063236978,5.292772760370339,58.51903408476494,23.291117055477272,1061.6954263383886,4.641556938087007,0.0442765367316449,5.446903362575925,17795.391784910178,0.3148647602315,0.3592110704628598,15.514017991774866,0.5781802182702711,34.25133019893504,0.0232383015139743,1229.9390448495694,0.1375616871546325,5.031800799387243,58.43731126272229,97086.67028296612,7418667.674644894,4900.881651033989,0.0392130305795698,3727.3574544234425,0.4168837327394522,0.671314546375214,38.85046234707015,0.027306008303368,5.138034249210691,0.0568856370287895,96777.64447663908,87.59195763614716,0.0001486057772516,16.09597933840751,0.0449049211178466,0.0074475049462914,6.052265544520977,20822.94555113727,0.1324825548028456,5.335475355846624,19085.196290758708,7.266369458383592,54.93991410847781,42.86716717035152,2225.3720057261016,4.577234087400501,0.0777342931185521,0.0784089066968945,4.542663619478508,0.0036794179114511,0
95.0,241.0,3400461766.0,2.938452424689391,83.0,2.208668941223304,255.0,44.5483945912649,179.7868434366901,191.0,41.0,214.0,34.41226363637827,187.37919879232345,-0.5664205951423495,3400461766.0,0.1467188128992899,2787.655067124153,49.54130363727272,707.4995375742657,-45.07036106307697,17.374867381127203,0.6344294859133864,0.9295290460778132,0.4888889238955806,1.2331863944764443,0.3899787623032669,0.7762384411999914,0.769586197415721,0.9938630764964492,0.9566003940662836,-0.4706031069971307,0.9665237639115986,0.391649528001009,6.73470011177394,0.0610010424606201,4.4837007790941446,0.9522408686602571,0.1259362759341684,13.46940022354788,3.8137354572923967,4.5023242167601465,6768.840969770567,0.1604867230184716,3.333946327567199,50.5966135310241,13.278052940190216,563.5767263898023,0.8858827070155311,0.0308995773090456,4.9640987627435855,14688.786506687273,0.3416675070790645,0.4358666584063851,7.734410315026745,0.5960240543952544,29.8250927697484,0.0178042774360321,1078.3473746662712,0.1599447307425498,3.035439103540845,48.8274992583803,22996.20839513497,1277276.1655295163,998.2310197447416,0.0306417463996596,1807.256600415307,0.2680594186317572,0.5305572686958433,25.89413064949597,0.016079465201222,5.7350094199124495,0.0696135220807649,22789.854445705387,87.69642702536136,0.0001720533711266,16.98984219712713,0.0409457561736481,0.0072363467808583,5.854234684205325,11885.280973474171,0.1227197077251615,4.994865347599936,14209.57031048333,4.52675632257867,49.6747101157472,35.38877014734277,1706.3376803064564,1.6687753717099998,0.0381080664408736,0.0870106825487852,4.307864054391154,0.0027403273391343,0
76.0,177.0,2013768722.0,2.568747315263405,60.0,2.131822950528371,190.0,31.751929441298785,130.0247234282185,135.0,20.0,170.0,25.336738002194902,135.24308868519822,-0.3569863769238766,2013768722.0,0.1812147401500826,1384.2643345276788,34.828178366864094,175.20257682950077,-8.446548330054258,8.956850385044605,0.3649126039906444,0.9216955941045916,0.3316809132654498,0.9844534602189096,0.253840339160209,0.8392566575612314,0.8374567351279706,0.9944448405458048,0.9635045827271186,-0.5143895799979303,0.9630742879221484,0.3065901867176777,5.71665885869576,0.0942539677325438,3.807762622278589,0.9254698618390028,0.1767590395429482,11.43331771739152,3.39679436792239,2.3304407472588125,6609.325227463198,0.1851382841576564,2.1916408251275965,33.51649059101247,22.219767251842395,839.4015472999295,0.8821413256511301,0.0431885377397435,5.273836277740244,8664.01321801215,0.2407336236983179,0.3243678359279914,12.49447780715212,0.4916184104897151,16.165767171982186,0.0218536327578869,672.3055411703781,0.1740822219498648,2.454685685137771,31.96866908337649,82568.00362506474,3494016.494821336,2475.03092350014,0.0492890929675857,1009.7006732263076,0.2614450215500538,0.5286326990828972,17.306206165398347,0.0250827658863894,5.775301943098636,0.0350778397427746,81755.29602567715,141.7350371829968,0.0001714136744203,8.125701256229274,0.0247261444149786,0.0044625999692287,5.459647209868344,15964.212719577105,0.1450000247014215,4.622954677545074,19951.3804610438,2.348729609043789,34.90009809442497,45.64771385492924,1638.520091191484,1.8692794268162616,0.0418093596159784,0.055443327196436,1.8506495189149408,0.0024794878635991,0
53.0,176.0,1606559618.0,2.8646162171898424,75.0,2.075143514170164,217.0,38.9799040372439,115.03597493408736,115.0,3.0,214.0,30.228128828831007,123.88201730952784,0.0844934957405088,1606559618.0,0.1468129713033677,2113.478683642182,29.54706271640793,383.8113939752444,3.085460428609026,13.374634118451866,0.3568751173752011,0.9480185812783212,0.3190297248735005,0.9758165659879334,0.2542310834418387,0.8462768903999813,0.8442309048643977,0.9956915203776432,0.9684310252088418,-0.5763944177965027,0.981147146807414,0.290515723691125,5.12763318112834,0.0786159999812873,4.073022548310812,0.955622205010626,0.1326046614325785,10.25526636225668,3.670607692776991,3.432877308956768,5274.421914989923,0.1629682463063967,2.799848858575313,33.768834774071976,31.09660044387885,638.449280810437,3.336999356093997,0.0492759540894002,5.464565758505384,8072.690754556898,0.2477137526428191,0.3093357151045049,20.44493057313232,0.5018167596353298,17.324186511782873,0.0236220605892992,603.366235167206,0.1627201281464957,2.836016822427732,34.60571736785329,62044.35167206041,1221014.4290722762,5741.087099084959,0.0488995031494758,1062.2788565264293,0.2864829710157576,0.5549475519665252,18.99347659796821,0.027068052043769,5.717848810901719,0.0354208857131939,61247.30974632533,130.3049563795663,0.0002276110753723,8.565330218523187,0.0269763726715609,0.0061684985857645,5.622608591887359,16192.487887356234,0.1546796825432371,4.84822816438248,15368.969087921743,3.4413558568371223,29.713394597073098,47.42795460624355,1277.188997363494,3.5675473498936423,0.0645724587934073,0.0555822788205036,1.8459057840447328,0.0028940363895307,0
117.0,239.0,3423547231.0,2.81184231462346,67.0,2.6755991129697354,255.0,37.49717912936247,183.3212699405693,190.0,35.0,220.0,27.770198801237303,188.93230209328297,-0.6138498344903267,3423547231.0,0.1609481004227095,2088.7267616444706,50.07520436126211,425.91826374771097,-26.68765753768253,12.584556834014606,0.7159675673096942,0.892278925049241,0.5055028348306662,1.2816852003060295,0.4586227413337322,0.7740696670719663,0.766562554686512,0.993196998552589,0.9554963103184664,-0.4196441763671825,0.9503326519404038,0.3873147255123464,6.863529622623537,0.0685318813666824,4.42151890599142,0.8950155986768124,0.1395694050799733,13.727059245247071,3.699130224275293,3.325131100331075,6527.985746885661,0.1558471681551677,3.303084158278529,46.76857481189334,11.561383686129965,658.2610516659865,0.3414042431335279,0.0348001819752709,5.010701399307341,14230.884194588549,0.338295758639289,0.4368939630903972,6.26710241780238,0.5974329473148956,26.85494000056408,0.0222109639885602,1030.2289354706124,0.1411465865831774,3.710909881278979,41.46965337717496,22575.699136868065,1499929.3299082066,414.4154906911934,0.0440201169368814,2256.724619810933,0.3091827126744668,0.5762024348289927,24.05712556614224,0.0247736782768811,5.702680532154533,0.0761025961839224,22403.03543228141,84.3507941227979,0.0001657413891584,17.327316739199397,0.0313132165659173,0.0067765131213758,5.8106865842302495,11727.115253883849,0.1222720806368871,4.9824548591668885,15436.53231154207,3.404844742068199,50.18197268272338,35.28580961317902,1903.7914815973309,1.052791436443996,0.0322468326121251,0.0923407202628577,4.100370731501493,0.0035989242753893,0
118.0,229.0,3314586006.0,2.698276539546737,61.0,2.6072258696785267,253.0,34.75050310819732,178.34776184355675,184.0,37.0,216.0,26.577206588695734,183.1539942303364,-0.5338262912459684,3314586006.0,0.1687224079032673,1737.4614479200447,47.44689861598613,339.6285760509048,-20.16698472436649,11.263700210998849,0.1770430561599886,0.9690408614113826,0.1749949427675983,0.6719113604694653,0.1457461222059794,0.9128349175130968,0.9127073399554398,0.9982483799643256,0.9841067594885268,-0.6967652940287131,0.9880434034842792,0.1732874972702985,6.683952771862212,0.1176189370070648,3.510513337558001,0.9725116821103504,0.1795303591242305,13.367905543724426,3.3267331940364726,2.860185816789709,3213.717141360414,0.1780223938902146,2.6092581124339054,45.92453655405831,107.52795327752204,5614.430906077065,3.1683699342151046,0.0331479688722021,6.104876055511348,3443.325263283933,0.1857386558534438,0.1827616917487273,75.11161324841291,0.4272248041837927,19.557709062030614,0.0138528457286733,327.2403433476395,0.1755581241135405,2.670783906500396,46.398068669527895,325602.28379828326,19510334.67113734,6763.298138054077,0.0323681894222877,578.9742489270386,0.310608502643261,0.5690992948693624,26.46804926103997,0.017253036143326,5.1125288317688655,0.0188646783187766,322792.3169769083,40.9184884139012,0.0003412742021772,7.630525309558044,0.0109767754670776,0.0147362861282096,4.983924475202584,29704.070874110657,0.3006211061149355,3.937943621851844,16671.29240251394,2.8763087412875032,47.408282646317645,60.75797751216994,2909.8954852290785,1.9262154220054497,0.0321055512986961,0.0361376901469568,1.681835482276006,0.0011525076342096,0
96.0,205.0,2635873476.0,2.6834949468730835,62.0,2.544307600785293,221.0,33.61620707733042,151.80967917346385,155.0,20.0,201.0,25.26670844847241,157.20176527247224,-0.3975714173092364,2635873476.0,0.1693065090540727,1666.2163140314383,46.28836942345342,278.02803829281754,-14.069058850721614,10.449626174934622,0.336439884610168,0.937606461607732,0.2973890556772575,0.9401706355738636,0.2461476211008433,0.8569694076876051,0.8551186304631286,0.9959499582936734,0.9705991655335512,-0.5619719463119276,0.9743606288227802,0.270553377786542,6.615139339531423,0.0945178944380956,3.849210956420242,0.939052140011016,0.1529838621826502,13.230278679062843,3.4691354348805654,2.696516514886197,5439.7275563859785,0.1766366004857381,2.533528589416788,43.280841435568014,34.454410723051154,1882.0120866220127,0.8674331671470522,0.0331411060324521,5.542455299981873,6989.98734228522,0.2224837398671019,0.2886220022125968,21.746737985103685,0.4648856228980279,19.76017582238325,0.0160525148769245,541.275569044006,0.1642717963714737,2.877074152449681,41.00910470409712,90194.02731411227,5006355.905007587,1885.5134320939385,0.0388970147436257,721.1499241274659,0.2188618889612946,0.475661465064692,19.563090402760828,0.0183553071074823,6.06669983185823,0.0308919765239729,89146.15441670256,83.93097820514323,0.0002129518064685,9.460906810196404,0.0197460435128707,0.0077311426321904,5.45688385717008,17672.20129005644,0.1656841357752193,4.619746361034419,18058.570868725503,2.7228452471556333,46.32713618720819,49.38954829273781,2379.0532617051995,1.4406814330761728,0.0305837510431118,0.048640179485909,2.1022767435777934,0.0016795823189336,0
90.0,230.0,3949667446.0,2.9856281370524185,70.0,2.673007048312765,255.0,41.00365671583604,167.62697962702623,175.0,8.0,247.0,29.54650493052809,175.1492705575187,-0.5539970916294341,3949667446.0,0.1427741888712367,2578.462677951422,56.2135003473814,720.1592143024835,-37.17172342901774,16.244581065285086,0.4796506199489665,0.9426345186470704,0.4117389291855263,1.1100440283852766,0.3083074155178948,0.8044933832927248,0.8008377791908449,0.996105304170137,0.966112297283304,-0.5195143128328105,0.9768038902406462,0.3607560564673533,7.2299561173635345,0.0637082426285107,4.416991474263313,0.9518573722031614,0.1309297433471393,14.459912234727064,3.8754733430079433,4.181057921308514,7706.047605264212,0.1547876290797012,3.373809361680188,54.74315649077312,14.422354599653875,835.8084153286011,0.5839926256163994,0.0275357516500049,5.289694721665033,13963.63912952684,0.278074980940979,0.3869816464593899,7.598389244037621,0.5301256388859599,28.327494801475403,0.0144324252034582,901.1034307926316,0.1522905916499292,3.3199704811837254,51.75376035152949,25271.5692073686,1560639.5862768297,733.9435968539249,0.0297083035202416,1398.0417441270915,0.2362754341942017,0.499200982897956,25.987444815086217,0.0145768863545389,6.161823252226395,0.0459576385059301,24798.107793663847,80.30794690916427,0.0001551715895762,17.490887391858347,0.0263254069720007,0.0077714519231685,5.908884962622916,16891.73501153407,0.131198960858213,4.543414519789337,18382.034042982857,4.194234756769121,56.4270169088692,39.40236429020808,2283.159216770616,1.2977063554294377,0.0301697180466281,0.066034962684625,3.5526768377571694,0.0018839486641218,0
95.0,234.0,4013709046.0,2.870733517874774,78.0,2.518716737793909,248.0,43.704929258266574,174.62169228987042,187.0,0.0,248.0,32.8525420543089,182.2394638530494,-0.667487507326408,4013709046.0,0.1517320553691558,2718.4867672687114,60.56514698409707,732.5787864111176,-48.012537054236645,17.09538127628077,0.444201481449568,0.9493469349932058,0.3793363758820648,1.0772137140349731,0.2991388873742238,0.820145914844457,0.8167325134810933,0.995653882691321,0.9659911691348386,-0.5350749750181266,0.976157849357641,0.3313926123336178,7.510149607079212,0.0759577724223172,4.198253249020983,0.96157455285772,0.1508822607290645,15.020299214158422,3.7052079689744057,4.384895689432585,6876.718491079675,0.1593914533431324,3.4971055387449743,58.248446153694815,22.279941061763108,1577.1220629061563,0.5772682640078612,0.0266058973656862,5.292023538059057,12273.237538651054,0.2826054703598635,0.3571768414781472,14.312514424877447,0.5399600913604401,31.36285755104919,0.0141025372302086,974.2799292661362,0.1722864596403424,3.0201453609045306,57.72519893899205,70489.5076923077,6088999.513351017,1090.423933339231,0.0262528163670747,1619.8919540229886,0.2864530422675488,0.554404897702932,32.47398669315807,0.0142820637774471,5.689985913747398,0.0467919969550035,70032.78053080107,76.56391312915463,0.0001670348613601,15.531744645284784,0.032216564384004,0.0083475795702263,5.735916351771807,16269.242341999436,0.1346189811011587,5.006975115915166,18337.42581958396,4.394768161040076,60.62602810002152,42.738328892713525,2680.046072120079,1.199351276928681,0.0274124384897342,0.0667112112647531,3.914937233235086,0.0017622951694371,0
